"year" "lower" "upper" "NumbersTotArea" "midw" "Nden"
"252" 2002 211.348904 298.5382619 2396.388238815 254.94358295 9.5549698663751e-07
"253" 2003 211.348904 298.5382619 2393.528912308 254.94358295 9.543569051528e-07
"254" 2004 211.348904 298.5382619 1724.721775298 254.94358295 6.87687592683332e-07
"255" 2005 211.348904 298.5382619 799.462583755 254.94358295 3.18764746602611e-07
"256" 2006 211.348904 298.5382619 609.157817371 254.94358295 2.42885710026891e-07
"257" 2007 211.348904 298.5382619 840.457158208 254.94358295 3.35110258454104e-07
"258" 2008 211.348904 298.5382619 908.173133786 254.94358295 3.62110228477322e-07
"259" 2009 211.348904 298.5382619 1194.636338645 254.94358295 4.76329921510304e-07
"260" 2010 211.348904 298.5382619 2432.520389743 254.94358295 9.69903734581453e-07
"261" 2011 211.348904 298.5382619 1855.44312871 254.94358295 7.39809305372135e-07
"262" 1983 298.5382619 421.6965034 751.674088848 360.11738265 2.12178669715123e-07
"263" 1984 298.5382619 421.6965034 624.815884242 360.11738265 1.76369792576626e-07
"264" 1985 298.5382619 421.6965034 533.387777949 360.11738265 1.50561940136811e-07
"265" 1986 298.5382619 421.6965034 1058.135839328 360.11738265 2.98685105815734e-07
"266" 1987 298.5382619 421.6965034 475.692171397 360.11738265 1.34275923060751e-07
"267" 1988 298.5382619 421.6965034 453.938355325 360.11738265 1.28135368498788e-07
"268" 1989 298.5382619 421.6965034 568.990310989 360.11738265 1.60611638817383e-07
"269" 1990 298.5382619 421.6965034 561.809022054 360.11738265 1.58584541760727e-07
"270" 1991 298.5382619 421.6965034 333.805376297 360.11738265 9.42248532139781e-08
"271" 1992 298.5382619 421.6965034 426.215568808 360.11738265 1.20309923866277e-07
"272" 1993 298.5382619 421.6965034 659.831938023 360.11738265 1.86253942928692e-07
"273" 1994 298.5382619 421.6965034 384.969452511 360.11738265 1.08667183725766e-07
"274" 1995 298.5382619 421.6965034 480.16916067 360.11738265 1.3553966441138e-07
"275" 1996 298.5382619 421.6965034 540.01358383 360.11738265 1.52432238313213e-07
"276" 1997 298.5382619 421.6965034 581.440697407 360.11738265 1.64126069428739e-07
"277" 1998 298.5382619 421.6965034 655.465682857 360.11738265 1.85021459028417e-07
"278" 1999 298.5382619 421.6965034 596.757802061 360.11738265 1.68449702420204e-07
"279" 2000 298.5382619 421.6965034 362.325924868 360.11738265 1.02275485988369e-07
"280" 2001 298.5382619 421.6965034 326.901941806 360.11738265 9.22761874710752e-08
"281" 2002 298.5382619 421.6965034 663.461679203 360.11738265 1.87278527474586e-07
"282" 2003 298.5382619 421.6965034 1209.215299233 360.11738265 3.41331033485065e-07
"283" 2004 298.5382619 421.6965034 1492.559184196 360.11738265 4.21311878209275e-07
"284" 2005 298.5382619 421.6965034 684.062065507 360.11738265 1.93093497853968e-07
"285" 2006 298.5382619 421.6965034 340.829569918 360.11738265 9.62076062188201e-08
"286" 2007 298.5382619 421.6965034 354.986776334 360.11738265 1.00203829141487e-07
"287" 2008 298.5382619 421.6965034 419.464889505 360.11738265 1.18404377066893e-07
"288" 2009 298.5382619 421.6965034 491.696737063 360.11738265 1.38793608987087e-07
"289" 2010 298.5382619 421.6965034 1125.261905394 360.11738265 3.17633104173535e-07
"290" 2011 298.5382619 421.6965034 1493.738834964 360.11738265 4.21644863919966e-07
"291" 1983 421.6965034 595.6621435 581.507777189 508.67932345 1.16205763831561e-07
"292" 1984 421.6965034 595.6621435 457.810156692 508.67932345 9.14866164050454e-08
"293" 1985 421.6965034 595.6621435 535.527940718 508.67932345 1.07017370782389e-07
"294" 1986 421.6965034 595.6621435 917.756786332 508.67932345 1.83400175459126e-07
"295" 1987 421.6965034 595.6621435 298.9299259 508.67932345 5.97367425406441e-08
"296" 1988 421.6965034 595.6621435 242.227673018 508.67932345 4.84056325097948e-08
"297" 1989 421.6965034 595.6621435 246.770603189 508.67932345 4.9313470188435e-08
"298" 1990 421.6965034 595.6621435 286.475274892 508.67932345 5.72478639900658e-08
"299" 1991 421.6965034 595.6621435 197.399152927 508.67932345 3.94473130806119e-08
"300" 1992 421.6965034 595.6621435 149.812794356 508.67932345 2.99378802533562e-08
"301" 1993 421.6965034 595.6621435 273.880790458 508.67932345 5.47310417890069e-08
"302" 1994 421.6965034 595.6621435 173.921245926 508.67932345 3.47555991891727e-08
"303" 1995 421.6965034 595.6621435 219.783952027 508.67932345 4.39205854591963e-08
"304" 1996 421.6965034 595.6621435 253.94298594 508.67932345 5.074676523412e-08
"305" 1997 421.6965034 595.6621435 193.666256097 508.67932345 3.87013486336161e-08
"306" 1998 421.6965034 595.6621435 271.931133986 508.67932345 5.43414316609479e-08
"307" 1999 421.6965034 595.6621435 221.711594329 508.67932345 4.43057963796431e-08
"308" 2000 421.6965034 595.6621435 171.559727763 508.67932345 3.42836845687698e-08
"309" 2001 421.6965034 595.6621435 137.529391517 508.67932345 2.7483223126917e-08
"310" 2002 421.6965034 595.6621435 209.49800367 508.67932345 4.18650901890639e-08
"311" 2003 421.6965034 595.6621435 202.837782905 508.67932345 4.05341431722847e-08
"312" 2004 421.6965034 595.6621435 356.929266295 508.67932345 7.13270564052464e-08
"313" 2005 421.6965034 595.6621435 229.807295671 508.67932345 4.59236030455264e-08
"314" 2006 421.6965034 595.6621435 198.478612185 508.67932345 3.96630271132038e-08
"315" 2007 421.6965034 595.6621435 173.583281104 508.67932345 3.46880618976191e-08
"316" 2008 421.6965034 595.6621435 196.99364087 508.67932345 3.93662774690946e-08
"317" 2009 421.6965034 595.6621435 206.966835782 508.67932345 4.13592735700106e-08
"318" 2010 421.6965034 595.6621435 369.468665675 508.67932345 7.38328706696501e-08
"319" 2011 421.6965034 595.6621435 600.170872022 508.67932345 1.19935308432002e-07
"320" 1983 595.6621435 841.3951416 469.336924512 718.52864255 6.63982855046483e-08
"321" 1984 595.6621435 841.3951416 251.849855996 718.52864255 3.56298381170719e-08
"322" 1985 595.6621435 841.3951416 335.980312614 718.52864255 4.7531987269233e-08
"323" 1986 595.6621435 841.3951416 189.773748108 718.52864255 2.68477736356753e-08
"324" 1987 595.6621435 841.3951416 157.649322008 718.52864255 2.23030495697421e-08
"325" 1988 595.6621435 841.3951416 132.130985885 718.52864255 1.8692905813718e-08
"326" 1989 595.6621435 841.3951416 150.112300494 718.52864255 2.12367680133493e-08
"327" 1990 595.6621435 841.3951416 118.206616123 718.52864255 1.67229898948056e-08
"328" 1991 595.6621435 841.3951416 121.544775871 718.52864255 1.71952478238792e-08
"329" 1992 595.6621435 841.3951416 86.496068046 718.52864255 1.22368182028707e-08
"330" 1993 595.6621435 841.3951416 114.407963936 718.52864255 1.61855849320328e-08
"331" 1994 595.6621435 841.3951416 99.782706482 718.52864255 1.41165126530524e-08
"332" 1995 595.6621435 841.3951416 100.420312131 718.52864255 1.4206716341939e-08
"333" 1996 595.6621435 841.3951416 159.215070375 718.52864255 2.25245599638126e-08
"334" 1997 595.6621435 841.3951416 93.62827586 718.52864255 1.32458297380378e-08
"335" 1998 595.6621435 841.3951416 103.904708983 718.52864255 1.46996628051459e-08
"336" 1999 595.6621435 841.3951416 82.996744824 718.52864255 1.1741760068229e-08
"337" 2000 595.6621435 841.3951416 64.142183512 718.52864255 9.07435744193706e-09
"338" 2001 595.6621435 841.3951416 50.472647681 718.52864255 7.14049352580371e-09
"339" 2002 595.6621435 841.3951416 120.390377963 718.52864255 1.70319322229151e-08
"340" 2003 595.6621435 841.3951416 231.599143544 718.52864255 3.27649184467125e-08
"341" 2004 595.6621435 841.3951416 223.960166711 718.52864255 3.16842130126614e-08
"342" 2005 595.6621435 841.3951416 92.690888059 718.52864255 1.31132151075054e-08
"343" 2006 595.6621435 841.3951416 99.397496445 718.52864255 1.40620160117694e-08
"344" 2007 595.6621435 841.3951416 98.792154247 718.52864255 1.39763767151541e-08
"345" 2008 595.6621435 841.3951416 154.107032183 718.52864255 2.18019128407597e-08
"346" 2009 595.6621435 841.3951416 128.551667597 718.52864255 1.81865305741271e-08
"347" 2010 595.6621435 841.3951416 111.296357639 718.52864255 1.57453780944798e-08
"348" 2011 595.6621435 841.3951416 175.285667939 718.52864255 2.47981081752478e-08
"349" 1983 841.3951416 1188.502227 157.204020016 1014.9486843 1.57447507681652e-08
"350" 1984 841.3951416 1188.502227 148.374391332 1014.9486843 1.48604203102617e-08
"351" 1985 841.3951416 1188.502227 198.095978726 1014.9486843 1.98402802479172e-08
"352" 1986 841.3951416 1188.502227 101.740992979 1014.9486843 1.01898575952254e-08
"353" 1987 841.3951416 1188.502227 58.826027941 1014.9486843 5.89171414648238e-09
